_BNYLZ,（ ）不能用来做研具材料。,"高碳钢"
QMGDYY,曲面刮刀用于刮削内曲面，如轴承、衬套等，常用曲面刮刀是（ ）。,"三角刮刀"
QMZLGL,全面质量管理的英文缩写是（ ）,"TQC"
QXFDJS,清洗发动机时，应先（ ）。,"关闭点火系统"
QXJKZJ,清洗机可直接清洗的配件是（ ）。,"缸盖"
QXSQCZ,前悬是汽车最前端至（ ）中心线的距离,"前轴"
QYBBYY,汽油泵泵油压力过大可能是造成（ ）的故障原因之一,"混合气过浓"
QYBDYB,汽油泵的摇臂行程磨损不应超过（ ）毫米。,"0.2"
QYDMDW,汽油的密度为（ ）g/cm3。,"0.60.78"
QYDYSW,汽油的颜色为（ ）。,"无色"
QYFDJD,汽油发动机的有效功率、有效转矩和燃油消耗率随（ ）变化的规律称为速度特性。,"曲轴"
QYJBZD,汽油机爆震的检测主要有气缸压力检测法、燃烧噪声检测法和（ ）。,"非共振法"
QYJFDQ,汽油机分电器轴轴向间隙不得大于（ ）mm。,"0.5"
QYJRLG,汽油机燃料供给系的作用是根据发动机各种不同工况的要求，将洁净的汽油或汽油和空气配制出适当浓度的混合气，按一定的时间和数量供入（ ）,"气缸"
QYLQQD,汽油滤清器的滤芯形式没有（ ）。,"铝合金"
QYYJYL,汽油要具有良好的抗爆性、化学稳定性、耐腐蚀性、清洁性以及（ ）。,"抗压性"
QYZDDG,气压制动的工作过程是：不制动时，上下活塞和芯管组在回位弹簧作用下，处于腔室的（ ）端位置,"上"
QYZDZZ,气压制动装置中，当抬起制动踏板后， （ ）出现排气缓慢的现象，此为产生制动毂过热原因之一。,"制动阀"
QZSDMY,前轴上端面与转向节之间的间隙调整合适后，应（ ）装入楔形销,"从前往后"
RGFDJW,如果发动机温度出现（ ）现象则可能发动机点火过迟造成的。,"易升高"
RGFDJZ,如果发动机在加速时有明显的爆震声，则（ ）。,"应推迟点火时间"
RGYYGZ,如果由于工作空间限制不能使用成套套筒扳手，应尽可能选用（ ）。,"梅花扳手"
RHXCQD,润滑系除起到润滑作用外，还可起到（ ）的作用。,"洗、冷却、密封"
RHXZDJ,润滑系中的机油滤清器拧紧力矩为（ ）N?m。,"20"
RHXZDJ,润滑系中的机油滤清器拧紧力矩为（ ）N•m。,"20"
RHYBJY,润滑油不具有（ ）的作用。,"防锈"
RHYZDS,润滑油脂的首要作用是（ ）。,"润滑"
RHZSAZ,润滑脂是按照（ ）的大小来编号的。,"针入度"
RSXSZJ,热塑性树脂加热后会（ ）。,"变软"
RSXSZY,热塑性树脂用于（ ）。,"保险杠"
RYXSZJ,热硬性树脂加热后会（ ）。,"变硬"
RYXSZY,热硬性树脂用于（ ）。,"皮带轮"
RYXTYL,燃油系统压力过高，说明燃油压力调节器（ ）。,"堵塞"
RZYHCF,若自由行程符合要求，应拆下（ ），检查离合器盖、飞轮连接螺钉是否松动。,"离合器底盖"
SDBSQD,手动变速器的功用是（ ）。,"中断发动机向驱动桥的动力传递"
SHSTNF,上海桑塔纳发动机火花塞间隙调整好后，其间隙应在（ ）mm之间。,"0.8～1.3"
SJBQTF,三角臂球头防尘套损坏（ ）。,"应及时更换"
SJGFSJ,三极管发射极正向偏置，集电极反向偏置处于（ ）状态,"放大"
SLJDTJ,砂轮机的托架和砂轮表面之间应保持（ ）mm以内的距离，以免将工件扎入。,"3"
SLJQDH,砂轮机启动后，应待转速达到（ ）时，方可进行磨削。,"正常"
SLJSLD,砂轮机砂轮的旋转方向应正确，磨屑应向（ ）飞离砂轮。,"下方"
SLWZSY,十六烷值是用来表示柴油的（ ）性能的。,"发火"
SLYJSX,塑料与金属相比，具有（ ）特点。,"以上选项都正确"
STN_XJ,桑塔纳2000型轿车AFE型发动机装复后，各缸压力差应不小于（ ）MPA。,"0.3"
STN_YQ,桑塔纳2000、一汽奥迪、神龙富康轿车的转向系均采用（ ）。,"齿轮齿条式"
SXTBJL,三相同步交流发电机的组成中（ ）用来产生磁场,"转子总成"
SYCYS_,使用柴油时，不正确的做法是（ ）。,"柴油入油箱前，要充分沉淀"
SYCZS_,使用锤子时，手应握在木柄的（ ）。,"三分之二处"
SYLJJJ,所有零件经检验可分为可用的、不可用的和（ ）三类。,"需修的"
SYQFCC,使用千分尺测量时，应保证千分尺螺杆轴线和工件中心线（ ）。,"垂直"
SYWJQF,使用外径千分尺时，下述（ ）没做，一定会影响测量精度。,"锁止度数"
SZSWDB,三轴式五档变速器的一、倒档长齿与（ ）制成一体,"中间轴"
SZTLZS,上置凸轮轴式配气机构的（ ）是由凸轮轴直接驱动的。,"挺杆"
SZYBYH,丝锥一般用合金工具钢或高速钢制成，并经（ ）。,"淬火处理"
SZYLZH,丝锥由两只或三只组成一套，分成（ ）、二锥和三锥，攻螺纹时依次使用。,"头锥"
TCFDJZ,通常发动机在（ ）转分时，发出的转矩最大。,"4200"
TCQCCD,通常汽车传动系动力最后经过（ ）传递给驱动轮,"半轴"
TDXQCR,通电线圈插入铁芯后，其磁感应强度将（ ）,"增强"
TRXJSY,天然橡胶适用于（ ）。,"轮胎"
TTBXZD,胎体变形增大，使内应力增加，并过度生热升温。加速橡胶老化和帘线疲劳，导致帘线折断和帘布脱层，是（ ）的现象。,"轮胎动不平衡"
TZKQYS,调整空气压缩机皮带方法是：松开空气压缩机底座支架上的3个螺栓，（ ）调整皮带的松紧，顺时针拧动调整螺栓皮带变紧，反之皮带变松,"拧动调整螺栓"
WCNGSZ,未成年工是指（ ）的劳动者,"已满16 周岁未满18 周岁"
WFDQDH,无分电器点火控制系统的高压配电方式有（ ）和点火线圈分配式两大类。,"霍尔分配式"
WGFDJR,我国发动机润滑油的分类法是（ ）。,"粘度分类和质量分类"
WLBZCD,为了保证传动的等速性，在安装传动轴时，必须使主传动轴上的两个万向节叉（ ）,"处在同一平面上"
WLJGJG,为了将工件更加牢固地夹紧在台虎钳上，可以（ ）。,"增加钳口与工件的接触面积"
WLJSJQ,为了减少进气阻力，提高进气量，一般进气门头部的直径比排气门头部的直径（ ）,"要大"
WLZDZW,为了阻挡紫外线，可采用（ ）。,"UV玻璃"
WXCDZZ,万向传动装置除连接变速器与驱动桥外，还应用于（ ）。,"转向操纵系统中"
WYEJGD,稳压二极管的稳定电压与击穿电压相比，稳压电压（ ）。,"相同"
XDCCDS,蓄电池充电时，（ ）。,"硫酸浓度升高，电动势升高"
XDCFDS,蓄电池放电时，硫酸分解成（ ）。,"氢离子和硫酸根"
XDFDJD,现代发动机的温度属于（ ）。,"高温"
XJCQSL,橡胶长期受力，会加速（ ）。,"老化、变形"
XJDXYJ,悬架弹性元件起（ ）作用。,"衰减振动"
XJJYDX,橡胶具有弹性大的特点，一般伸长率可达（ ）。,"800%~100%"
XL_BSF,下列（ ）不是发动机单缸不工作的故障原因。,"分电器断电触点间隙过小"
XL_KNS,下列（ ）可能是造成手动变速器换档困难的故障原因。,"变速器润滑良好"
XLBJKS,下列部件可使用合金钢制造的是（ ）。,"曲轴"
XLBSKQ,下列不是靠驱动皮带驱动的是（ ）。,"机油泵"
XLBSNL,下列不是扭力扳手类型的是（ ）。,"弹簧式"
XLBSYX,下列不属于旋转工具的是（ ）。,"挫刀"
XLCLZ_,下列材料中，可用于制作发动机气缸体、缸盖的铸铁是（ ）。,"灰口铸铁"
XLDYDH,下列对于点火次级电路断路的故障现象叙述正确的是（ ）。,"发动机不能起动"
XLDYDH,下列对于点火次级电路断路的故障原因叙述不正确的是（ ）。,"高压线短路"
XLDYFD,下列对于发动机点火错乱故障的诊断与排除方法叙述不正确的是（ ）。,"摇转曲轴，使第一缸处于排气终了位置并对准正时标记"
XLDYFD,下列对于发动机点火过迟的故障原因叙述正确的是（ ）,"分电器固定螺钉松动"
XLDYFD,下列对于发动机总成的拆装要领叙述正确的是（ ）,"放掉油底壳内的润滑油，并关闭油箱开关"
XLDYHH,下列对于混合气过浓的故障现象叙述不正确的是（ ）,"排气歧管冒白烟"
XLDYSD,下列对于手动变速器乱档的故障现象叙述不正确的是（ ）。,"自动脱档"
XLGDZS,下列刮刀中属于平面刮刀的是（ ）,"钩头刮刀"
XLGYCL,下列工业纯铝的牌号中其纯度最高的是（ ）,"L1"
XLGYCT,下列工业纯铜编号中其纯度最小的是（ ）,"T3"
XLNGXX,下列哪个选项是发动机的传感器。,"空气流量计"
XLPJBS,下列配件不是用铝制成的是（ ）。,"悬架"
XLSFZQ,下列说法正确的是（ ）。,"乙烯乙二醇与水混合，前者比例低于40%时会减低防蚀性及热交换功能"
XLXXBS,下列选项不属于汽油供给装置组成的是（ ）,"空气滤清器"
XLXXBS,下列选项不属于正弦交流电三要素的是（ ）,"周期"
XLXXZK,下列选项中可以承担整车大部分载重的是（ ）,"驱动桥"
XLXXZS,下列选项中属于金属材料工艺性能的是（ ）,"淬透性"
XLXXZ_,下列选项中，（ ）不符合汽车制动液性能的要求。,"蒸发性要好"
XLXXZ_,下列选项中，非润滑油的功能是（ ）。,"冷却"
XMSFCW,下面说法错误的是（ ）。,"安全带警示灯点亮后应首先检查电路故障"
XMSYAQ,下面属于安全装置的是（ ）。,"其他各项都正确"
XSBSWJ,下述不是外径千分尺规格的是（ ）mm。,"5~25"
XZGCSD,形状公差是对（ ）提出的,"单一要素"
YBJSJD,一般计算机对怠速控制的内容包括起动后控制、减速时的控制、负荷变化时的控制和（ ）。,"暖机控制"
YBKCBK,游标卡尺不可以测量（ ）。,"平面度误差"
YBKCDJ,游标卡尺的精度有（ ）三种。,"0.10mm、0.05mm、0.02mm"
YBKCDJ,游标卡尺的精度有（ ）种。,"三"
YBQKX_,一般情况下，发动机汽缸沿轴线方向磨损呈（ ）的特点。,"上大下小"
YDPHQY,用低牌号汽油代替高牌号汽油时，应适当（ ）点火提前角，以免发生爆燃。,"减小"
YDQCDZ,用电桥测电阻属于（ ）,"比较测量"
YDZAWS,遇到障碍物时，由于受到冲击，会引起胎冠爆裂，是（ ）的现象。,"轮胎超载"
YGRYRX,有关Rl2与R134系统的错误说法是（ ）。,"可使用同一种冷冻机油"
YGXB_Z,与钢相比，铸铁工艺性能的突出特点是（ ）。,"可铸性好"
YHBGHL,用厚薄规和量角器测量活塞环的漏光度，其开口处左右对应的圆心角在（ ）允许漏光。,"30°"
YJCJCF,应经常检查发动机机油液面，保持机油液面位于机油尺（ ）。,"MAx及Min两个标记之间"
YJEHFD,由基尔霍夫第二定律可知，当电动势的方向与绕行的方向相反时其值取（ ）,"负"
YJWHJG,一级维护竣工检验技术要求中:转向器、变速器、驱动桥的润滑油面，应在检视口下沿（ ）处，通风孔应畅通；变速器、减速器的凸缘螺母紧固可靠,"0～15mm"
YJWHJG,一级维护竣工检验技术要求中: 转向器、变速器、驱动桥的润滑油面，应在检视口下沿（ ）处，通风孔应畅通；变速器、减速器的凸缘螺母紧固可靠,"0～15mm"
YMYZKS,研磨圆锥孔时，应沿同一方向转动，且每转（ ）圈，将研磨棒稍微拔出一些，再推入研磨。,"3～4"
YNJBFB,用内径百分表测量汽缸磨损量时，应使内径百分表的测量杆与汽缸轴线（ ）,"垂直"
YPJSZY,一篇技师专业论文的价值（ ），通过实践证明，撰写专业论文是保证人才质量的基本措施。,"能全面地展现个人的才华"
YPQPMW,用剖切平面完全地剖开机件后，所得到的剖视图叫做（ ）。,"全剖视图"
YSZWYB,用数字万用表的（ ）可检测点火线圈是否有故障。,"欧姆挡"
YXCLZ_,以下材料中，（ ）属于合金渗碳钢。,"20MnVB"
YXJZCL,以下几种材料中，用于制作发动机曲轴的是（ ）。,"45"
YXSFZQ,以下说法正确的是（ ）。,"不可以敲击接杆以使螺栓松动"
YXXYWZ,优先选用文字符号的规则是（ ）应优先选用。,"字母符号"
YXYGDD,以下有关电动门窗说法正确的是（ ）。,"电动门窗上升速度过慢时不可以在车窗玻璃的密封滑槽内喷入任何润滑油来解决"
YXYGGH,以下有关更换空气滤清器说法错误的是（ ）。,"不需清洁空气滤清器外部"
YXYGGS,以下有关刮水系统说法错误的是（ ）。,"在检查刮水系统时，若发现只有快速挡，肯定是熔丝烧毁造成的"
YXYGSD,以下有关手动变速器油的说法正确的是（ ）。,"手动变速器油不可以用ATF代替"
YXYGWD,以下有关雾灯的说法正确的是（ ）。,"只有在打开小灯的情况下才能打开雾灯"
YYBKCF,用游标卡尺分别测量制动蹄支承销与衬套，其配合间隙不应超过（ ）毫米。,"0.4"
YYLTCL,由于轮胎材料的发展，轮胎承压能力大幅提高，相应轮胎（ ）也提高了。,"气压"
YYQCDQ,越野汽车的前桥属于（ ）。,"转向驱动桥"
YYZDZB,液压制动总泵由缸体、（ ）、推杆、皮碗、回位弹簧、出油阀、回油阀组成。,"挺杆"
YZJLDY,已知交流电压的有效值是 220 V，频率为 50 Hz，当 t = O 时 ，瞬时值为 110 V。则该电压的瞬时值表达式为（ ）。,"U=22Ocos(314t+30°)"
YZLGYD,已知两个用电器分别为40W 和20W 的灯泡，所加的电压均为220V，则下列叙述不正确的是（ ）,"40W 的灯要比20W 的灯消耗的功率小"
YZTSJG,优质碳素结构钢的牌号是由两位数字表示，表示钢平均含碳量的（ ）。,"万分之几"
YZZJHZ,用錾子进行錾削时每次錾削的厚度约为（ ）,"0.5～1mm"
Z_SKQL,在（ ）式空气流量传感器中，还装有进气温度传感器和油泵控制触点。,"热膜"
ZBFDLZ,在部分电路中，通过电路的电流与这段电路两端的电压（ ）,"成正比"
ZBXBMZ,在必须避免撞坏物件的地方应该使用（ ）。,"塑料锤"
ZBZKZZ,在爆震控制中，当发动机发生爆震时， ECU会（ ）。,"推迟点火时刻"
ZCLJSQ,在测量减速器齿轮啮合间隙时，应固定减速器主动齿轮，使其不能转动，将百分表头垂直接触减速器（ ）的齿侧面，并往复转动被动齿轮,"被动齿轮"
ZCQCYY,造成汽车液压制动发生作用时间延迟的主要原因是（ ）。,"与主缸活塞长度无关"
ZDBSQE,自动变速器EU主要根据节气门位置传感器和（ ）发出的信息，控制换挡电磁阀动作，实现换挡。,"车速传感器"
ZDBSQY,自动变速器液压泵齿轮与泵盖间的间隙不超过（ ）mm 。,"0.1"
ZDQCXL,制定汽车修理工时，一定要遵守以下几项原则，即（ ）。,"现实性、合理性"
ZDQDXD,诊断起动系电路短路、断路故障时，除检查起动机导线是否短路外，还应检查（ ）。,"检查起动机电磁开关工作是否正常"
ZEJGDP,在二极管的P型侧接电源的正极，在N型侧接电源的负极，其接合部的电场屏蔽将（ ）。,"不变"
ZFDJRH,在发动机润滑系中并联于润滑系内，并能滤出润滑油中微小杂质的选项是（ ）,"机油细滤器"
ZFDJYZ,在发动机运转及汽车行驶的大部分时间里，由（ ）向用电设备供电,"交流发电机"
ZFQWLZ,在废气涡轮增压控制系统中，控制排气流动路线的切换阀受（ ）的控制。,"驱动气室"
ZJCLDD,直接测量电动汽油泵好坏的依据是（ ）。,"供油量"
ZJHCPC,在进行产品成本的核算时，常把产品成本分为三部分进行核算：即（ ），然后把其累加起来即为产品成本。,"材料费、杂费、基本工资"
ZJSQAC,主减速器按传动比挡数可分为单速式和（ ）。,"高速式"
ZJSQDY,主减速器的圆锥滚子轴承一般都是成对安装使用的，装配时应使其具有一定的（ ）。,"预紧度"
ZJYLJL,在进油路节流调速回路中，没有进入执行元件的多余油液经（ ）流回油箱,"溢流阀"
ZKDZTZ,在可锻铸铁中，碳主要以（ ）形式存在。,"团絮状石墨"
ZKSDHT,真空式点火提前装置的作用是当发动机负荷发生变化时会自动调整（ ）提前角。,"点火"
ZLHJY_,铸铝合金有（ ）。,"ZL101"
ZMFZS_,正面防撞时，安全气囊系统的有效作用范围为正前方和斜前方（ ）范围内。,"±15°"
ZPSZDD,在盘式制动的车辆上，当施加制动且ABS尚未工作时，制动踏板快速脉动，可能是（ ）造成的。,"制动盘跳动扯过大"
ZPTDDM,在平坦的地面使用卧式千斤顶时，错误的是（ ）。,"若没有其他安全辅助支承，若时间很短允许躺在车下工作"
ZQCDHX,在汽车点火系中，电容器可以防止触点烧蚀，提高（ ）。,"次级电压"
ZQCSJG,在汽车实际故障诊断中，常采用模拟信号发生器的（ ）来判断某部位的好坏。,"动作"
ZQQDQC,在前驱动汽车上，每个半轴用（ ）个等速万向节,"二"
ZRGZSX,在日光照射下，塑料不会产生（ ）。,"增亮"
ZSYHDZ,在商业活动中，不符合待人热情要求的是（ ）,"严肃待客，不卑不亢"
ZTSGZD,在碳素钢中对钢的性能影响最大的是（ ）。,"碳"
ZWDXSR,正温度系数热敏电阻随温度升高阻值（ ）。,"上升"
ZWXLTD,子午线轮胎的（ ）层就像一条钢带箍在帘布层上，极大提高了胎面的刚度和强度，减少了爆胎的可能。,"缓冲"
ZXCDJG,转向传动机构可以将（ ）输出的力传给转向轮。,"转向器"
ZXJKPM,錾削较宽平面时，应先用（ ）在平面上开槽，再用扁錾錾去剩余部分。,"尖錾"
ZXJZXK,转向节主销孔轴线对（ ）形成的倾斜角度应符合规定,"垂直线"
ZXQZYD,转向桥主要的功用是承受地面和车架之间的垂直载荷、纵向力和横向力，并保证（ ）作正确的运动,"后轮"
ZXS_YJ,錾削时，眼睛应注视錾子（ ）。,"刃口"
ZXS_ZS,錾削时，左手握住錾身，錾子尾端以露出（ ）mm左右为准。,"20"
ZXS_ZZ,錾削时，錾子的切削刃应与錾削方向倾斜一个角度，此角度大约在（ ）之间。,"25°～40°"
ZYBFBC,在用百分表测量曲轴的轴向间隙时，要用量头垂直触到（ ）的端面上并调零,"飞轮"
ZYLCGQ,作用力超过屈服极限，无法恢复的变形称为（ ）。,"塑性变形"
ZYXHXG,在以下划线工具中，（ ）是绘画工具。,"划规"
ZYYYZD,装有液压制动装置的汽车，行驶一定里程后，用手触摸各制动鼓均感觉发热，故障可能是由（ ）引起的。,"制动主缸"
ZZDPCQ,在诊断排除汽油发动机油路故障时，一般采用先内后外、（ ）、逐段检查、逐渐缩小范围的方法,"由简到繁"
ZZLXTZ,在制冷系统中，用作热交换器的是（ ）,"冷凝器"
ZZQCZD,在钻汽车制动器制动蹄摩擦片铆钉孔时，其铆钉埋头孔的深度应为摩擦片厚度的（ ）。,"三分之一"
ZZYBYY,錾子一般用优质碳素工具钢制成，刃口部分经（ ）处理。,"淬火+低温回火"
_Y_MDL,“与“门电路的逻辑表达式为（ ）。,"Y=A•B"
_HTF_G,《合同法》规定。合同当事人应遵守的原则有（ ）,"平等原则、自愿原则、公平原则都正确"
